Designator,Mid X,Mid Y,Rotation,Layer
50W RESISTOR,157.43,-127.625,180.0,top
C1,127.3,-113.4,90.0,top
C10,121.775,-119.6,180.0,top
C11,123.675,-118.45,270.0,top
C12,153.22,-103.7,0.0,top
C13,143.6,-110.8,270.0,top
C14,136.975,-95.9,90.0,top
C15,137.0,-91.675,90.0,top
C16,134.825,-94.725,270.0,top
C17,139.2,-122.8,90.0,top
C18,139.5,-120.37,270.0,top
C19,164.4,-98.6,180.0,top
C2,137.65,-120.25,0.0,top
C20,141.5,-110.8,270.0,top
C21,121.75,-96.0064,180.0,top
C22,169.7,-98.1,0.0,top
C23,123.3,-103.0064,180.0,top
C24,126.75,-100.5064,180.0,top
C25,126.75,-102.5564,180.0,top
C26,167.2,-97.6,90.0,top
C27,146.85,-102.025,270.0,top
C28,163.5,-100.825,270.0,top
C29,121.25,-97.6064,0.0,top
C3,127.5,-126.72,270.0,top
C30,140.0,-110.5,270.0,top
C31,170.5,-86.0,270.0,top
C32,149.4,-86.0,270.0,top
C33,125.95,-99.0064,0.0,top
C34,146.2,-86.0,270.0,top
C35,177.475,-90.325,0.0,top
C36,177.475,-101.716667,0.0,top
C37,177.475,-113.108333,0.0,top
C38,170.625,-124.5,0.0,top
C39,123.22,-123.4,180.0,top
C4,128.1,-115.3,90.0,top
C40,125.565,-127.05,270.0,top
C5,132.28,-116.9,180.0,top
C6,124.7,-116.5,90.0,top
C7,137.75,-123.25,0.0,top
C8,129.5,-126.7,270.0,top
C9,121.35,-121.1,270.0,top
D1,178.225,-80.0,0.0,top
D10,126.2,-96.0064,180.0,top
D2,157.2,-108.0,270.0,top
H1,181.35,-68.9,0.0,top
H2,181.35,-127.275,0.0,top
H3,119.4,-127.275,0.0,top
H4,119.4,-68.91,0.0,top
J1,121.025,-76.883211,0.0,top
J2,140.76,-117.25,180.0,top
J3,133.025,-68.8,0.0,top
J4,163.7,-70.3,180.0,top
L1,119.55,-119.6,90.0,top
L2,124.75,-106.7064,0.0,top
L3,149.8,-111.7,180.0,top
Q1,169.635,-80.6,180.0,top
Q2,163.461,-80.6,0.0,top
Q3,151.113,-80.6,180.0,top
Q4,157.287,-80.6,0.0,top
Q5,144.939,-80.6,180.0,top
Q6,138.765,-80.6,0.0,top
Q7,151.15,-126.91,90.0,top
R1,122.9,-117.025,0.0,top
R13,138.775,-94.825,180.0,top
R14,138.775,-93.75,180.0,top
R15,138.775,-92.675,180.0,top
R16,163.51,-102.9,180.0,top
R18,124.5,-114.5,90.0,top
R19,124.5,-111.8,90.0,top
R2,123.25,-80.708211,0.0,top
R20,165.25,-86.3,0.0,top
R21,154.55,-86.2,180.0,top
R22,141.2,-86.3,0.0,top
R29,142.3,-98.8,270.0,top
R3,118.8,-73.058211,180.0,top
R30,158.49,-101.5,0.0,top
R31,160.5,-101.5,180.0,top
R4,147.2,-117.9,0.0,top
R5,127.4,-98.0064,180.0,top
R6,126.2,-97.0064,180.0,top
R7,137.94,-121.3,180.0,top
R8,119.4,-114.8,270.0,top
R9,118.275,-114.8,270.0,top
S1,148.0,-120.5,0.0,top
U1,151.85,-98.975,270.0,top
U2,128.325,-121.55,180.0,top
U3,122.8125,-100.3564,90.0,top
Y2,141.675,-121.6,180.0,top
